Date,Price
07.01.2021,27.200000762939453
01.02.2021,29.398000717163086
01.03.2021,26.64699935913086
01.04.2021,24.934999465942383
03.05.2021,26.94300079345703
01.06.2021,28.08300018310547
01.07.2021,26.075000762939453
02.08.2021,25.55699920654297
01.09.2021,24.177000045776367
01.10.2021,22.510000228881836
01.11.2021,24.06399917602539
01.12.2021,22.298999786376953
03.01.2022,22.790000915527344
01.02.2022,22.59600067138672
01.03.2022,25.534000396728516
01.04.2022,24.642000198364258
02.05.2022,22.54400062561035
01.06.2022,21.884000778198242
01.07.2022,19.597000122070312
01.08.2022,20.32200050354004
01.09.2022,17.551000595092773
03.10.2022,20.518999099731445
01.11.2022,19.67300033569336
01.12.2022,22.636999130249023
03.01.2023,24.05900001525879
01.02.2023,23.520999908447266
01.03.2023,20.958999633789062
03.04.2023,23.94099998474121
01.05.2023,25.009000778198242
01.06.2023,23.875
03.07.2023,22.895999908447266
01.08.2023,24.20800018310547
01.09.2023,24.23200035095215
02.10.2023,21.218000411987305
01.11.2023,22.684999465942383
01.12.2023,25.499000549316406
02.01.2024,23.732999801635742
01.02.2024,23.1299991607666
01.03.2024,23.149999618530273
01.04.2024,24.95400047302246
01.05.2024,26.48900032043457
03.06.2024,30.641000747680664
01.07.2024,29.299999237060547
01.08.2024,28.33099937438965
03.09.2024,27.951000213623047
01.10.2024,31.44499969482422
01.11.2024,32.54199981689453
02.12.2024,30.448999404907227
02.01.2025,29.621999740600586
03.02.2025,32.391998291015625
03.03.2025,32.03200149536133
01.04.2025,34.15800094604492
01.05.2025,32.18899917602539
02.06.2025,34.5629997253418
01.07.2025,36.082000732421875
01.08.2025,36.7869987487793
02.09.2025,41.07099914550781
01.10.2025,47.290000915527344
03.11.2025,47.88800048828125
01.12.2025,58.417999267578125
